/usr/local/Cellar/python/2.7.12/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/seanstappas1/PycharmProjects/qbert-reinforcement-learning/main.py
06-11-2017:19:04:16,571 INFO     [main.py:play_learning_agent:24] Plot filename: seed598
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:25] Agent type: subsumption
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:26] Distance metric: None
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:27] Exploration: combined
A.L.E: Arcade Learning Environment (version 0.5.1)
[Powered by Stella]
Use -help for help screen.
Warning: couldn't load settings file: ./ale.cfg
Game console created:
  ROM file:  qbert.bin
  Cart Name: Q-bert (1988) (Atari) [!]
  Cart MD5:  484b0076816a104875e00467d431c2d2
  Display Format:  AUTO-DETECT ==> NTSC
  ROM Size:        4096
  Bankswitch Type: AUTO-DETECT ==> 4K


WARNING: Possibly unsupported ROM: mismatched MD5.
Cartridge_MD5: 484b0076816a104875e00467d431c2d2
Cartridge_name: Q-bert (1988) (Atari) [!]

Running ROM file...
Random seed is 459
06-11-2017:19:12:51,292 INFO     [main.py:play_learning_agent:44] Episode 44 ended with score: 14925
06-11-2017:19:12:52,207 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:55,99 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:12:56,765 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:58,135 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:59,466 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:13:01,395 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:06,509 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:13:07,719 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:09,973 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:11,514 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:13:12,236 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:12,994 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:16,45 INFO     [main.py:play_learning_agent:44] Episode 45 ended with score: 19375
06-11-2017:19:13:17,8 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:19,64 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:13:20,213 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:21,152 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:24,519 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:13:25,458 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:26,751 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:28,858 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:13:30,53 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:33,87 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:13:35,9 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:35,855 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:39,751 INFO     [main.py:play_learning_agent:44] Episode 46 ended with score: 20725
06-11-2017:19:13:40,695 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:42,187 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:42,577 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:13:43,128 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:44,788 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:48,234 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:13:50,960 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:51,257 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:13:51,979 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:54,185 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:13:55,326 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:13:57,26 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:14:05,811 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:14:18,587 INFO     [main.py:play_learning_agent:44] Episode 47 ended with score: 21475
06-11-2017:19:14:20,121 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:14:26,64 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:14:30,545 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:14:33,41 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:14:41,509 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:14:43,766 INFO     [world.py:perform_action:647] Killed Coily!
