/usr/local/Cellar/python/2.7.12/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/seanstappas1/PycharmProjects/qbert-reinforcement-learning/main.py
06-11-2017:19:00:58,770 INFO     [main.py:play_learning_agent:24] Plot filename: subsumption_generalization2
06-11-2017:19:00:58,771 INFO     [main.py:play_learning_agent:25] Agent type: subsumption
06-11-2017:19:00:58,771 INFO     [main.py:play_learning_agent:26] Distance metric: None
06-11-2017:19:00:58,771 INFO     [main.py:play_learning_agent:27] Exploration: None
A.L.E: Arcade Learning Environment (version 0.5.1)
[Powered by Stella]
Use -help for help screen.
Warning: couldn't load settings file: ./ale.cfg
Game console created:
  ROM file:  qbert.bin
  Cart Name: Q-bert (1988) (Atari) [!]
  Cart MD5:  484b0076816a104875e00467d431c2d2
  Display Format:  AUTO-DETECT ==> NTSC
  ROM Size:        4096
  Bankswitch Type: AUTO-DETECT ==> 4K


WARNING: Possibly unsupported ROM: mismatched MD5.
Cartridge_MD5: 484b0076816a104875e00467d431c2d2
Cartridge_name: Q-bert (1988) (Atari) [!]

Running ROM file...
Random seed is 123
06-11-2017:19:05:12,652 INFO     [main.py:play_learning_agent:44] Episode 37 ended with score: 1750
06-11-2017:19:05:13,614 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:14,989 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:17,192 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:05:18,535 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:25,246 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:26,681 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:05:28,833 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:33,528 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:05:34,667 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:35,633 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:36,836 INFO     [main.py:play_learning_agent:44] Episode 38 ended with score: 15825
06-11-2017:19:05:37,741 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:39,205 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:41,169 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:05:42,690 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:44,954 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:45,530 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:05:46,877 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:49,939 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:52,466 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:05:53,179 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:05:58,964 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:00,625 INFO     [main.py:play_learning_agent:44] Episode 39 ended with score: 16575
06-11-2017:19:06:01,527 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:03,2 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:06,424 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:06:07,437 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:08,820 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:10,291 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:06:10,922 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:13,439 INFO     [main.py:play_learning_agent:44] Episode 40 ended with score: 10475
06-11-2017:19:06:14,354 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:15,832 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:18,32 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:06:19,341 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:21,181 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:06:22,99 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:24,806 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:29,370 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:06:30,349 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:32,826 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:33,138 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:06:34,427 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:37,834 INFO     [main.py:play_learning_agent:44] Episode 41 ended with score: 20100
06-11-2017:19:06:38,749 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:40,211 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:43,609 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:06:44,500 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:47,138 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:48,295 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:06:49,632 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:51,867 INFO     [main.py:play_learning_agent:44] Episode 42 ended with score: 10600
06-11-2017:19:06:52,784 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:54,362 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:57,686 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:06:58,824 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:59,504 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:05,72 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:07:06,929 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:10,291 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:10,482 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:07:11,623 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:12,708 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:15,984 INFO     [main.py:play_learning_agent:44] Episode 43 ended with score: 15825
06-11-2017:19:07:16,888 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:18,371 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:20,886 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:22,694 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:23,846 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:28,462 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:07:30,426 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:31,541 INFO     [main.py:play_learning_agent:44] Episode 44 ended with score: 10725
06-11-2017:19:07:32,486 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:33,969 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:36,520 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:37,826 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:40,51 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:40,351 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:07:42,148 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:43,216 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:47,560 INFO     [main.py:play_learning_agent:44] Episode 45 ended with score: 11475
06-11-2017:19:07:48,462 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:50,50 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:53,851 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:55,102 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:57,349 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:59,205 INFO     [main.py:play_learning_agent:44] Episode 46 ended with score: 6425
06-11-2017:19:08:00,120 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:03,787 INFO     [main.py:play_learning_agent:44] Episode 47 ended with score: 1075
06-11-2017:19:08:04,685 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:08,619 INFO     [world.py:perform_action:647] Killed Coily!
